hsa-let-7a-3p
hsa-let-7a-5p
hsa-let-7b-3p
hsa-let-7b-5p
hsa-let-7c-3p
hsa-let-7c-5p
hsa-let-7d-3p
hsa-let-7e-5p
hsa-let-7f-1-3p
hsa-let-7f-2-3p
hsa-let-7i-3p
hsa-miR-100-5p
hsa-miR-106a-3p
hsa-miR-1179
hsa-miR-1180-3p
hsa-miR-1185-1-3p
hsa-miR-1185-2-3p
hsa-miR-1206
hsa-miR-1226-3p
hsa-miR-1227-5p
hsa-miR-1229-3p
hsa-miR-1229-5p
hsa-miR-1236-3p
hsa-miR-1237-3p
hsa-miR-124-3p
hsa-miR-1244
hsa-miR-1245b-3p
hsa-miR-1248
hsa-miR-1250-3p
hsa-miR-1253
hsa-miR-1261
hsa-miR-1263
hsa-miR-126-5p
hsa-miR-1266-3p
hsa-miR-1267
hsa-miR-1268a
hsa-miR-1268b
hsa-miR-1272
hsa-miR-1273d
hsa-miR-1273g-5p
hsa-miR-1273h-5p
hsa-miR-1275
hsa-miR-1276
hsa-miR-1277-5p
hsa-miR-1278
hsa-miR-1279
hsa-miR-1282
hsa-miR-1284
hsa-miR-129-5p
hsa-miR-1296-3p
hsa-miR-1301-3p
hsa-miR-1305
hsa-miR-130a-5p
hsa-miR-1343-5p
hsa-miR-136-5p
hsa-miR-137
hsa-miR-138-1-3p
hsa-miR-138-2-3p
hsa-miR-139-5p
hsa-miR-140-5p
hsa-miR-141-3p
hsa-miR-141-5p
hsa-miR-142-5p
hsa-miR-1468-3p
hsa-miR-1468-5p
hsa-miR-146a-3p
hsa-miR-1470
hsa-miR-149-3p
hsa-miR-150-3p
hsa-miR-152-5p
hsa-miR-153-5p
hsa-miR-154-3p
hsa-miR-15a-5p
hsa-miR-15b-5p
hsa-miR-1-5p
hsa-miR-16-2-3p
hsa-miR-16-5p
hsa-miR-181a-5p
hsa-miR-181b-5p
hsa-miR-181c-5p
hsa-miR-181d-5p
hsa-miR-183-3p
hsa-miR-186-5p
hsa-miR-190a-3p
hsa-miR-190a-5p
hsa-miR-190b
hsa-miR-1914-3p
hsa-miR-191-5p
hsa-miR-192-3p
hsa-miR-194-5p
hsa-miR-195-3p
hsa-miR-195-5p
hsa-miR-197-3p
hsa-miR-197-5p
hsa-miR-1976
hsa-miR-199a-3p
hsa-miR-199a-5p
hsa-miR-199b-3p
hsa-miR-199b-5p
hsa-miR-19a-3p
hsa-miR-19b-1-5p
hsa-miR-19b-2-5p
hsa-miR-19b-3p
hsa-miR-200a-3p
hsa-miR-200a-5p
hsa-miR-200b-5p
hsa-miR-203a-3p
hsa-miR-204-3p
hsa-miR-204-5p
hsa-miR-2053
hsa-miR-2054
hsa-miR-205-5p
hsa-miR-210-3p
hsa-miR-2110
hsa-miR-2113
hsa-miR-211-5p
hsa-miR-2116-5p
hsa-miR-215-3p
hsa-miR-216b-3p
hsa-miR-218-2-3p
hsa-miR-219b-5p
hsa-miR-222-3p
hsa-miR-223-5p
hsa-miR-224-3p
hsa-miR-22-5p
hsa-miR-2355-3p
hsa-miR-23a-3p
hsa-miR-23b-3p
hsa-miR-23c
hsa-miR-25-3p
hsa-miR-25-5p
hsa-miR-2681-5p
hsa-miR-26b-3p
hsa-miR-28-3p
hsa-miR-296-3p
hsa-miR-297
hsa-miR-299-3p
hsa-miR-302e
hsa-miR-302f
hsa-miR-3065-5p
hsa-miR-3074-5p
hsa-miR-30a-5p
hsa-miR-30b-3p
hsa-miR-30b-5p
hsa-miR-30c-1-3p
hsa-miR-30c-2-3p
hsa-miR-30c-5p
hsa-miR-30d-5p
hsa-miR-30e-5p
hsa-miR-3115
hsa-miR-3120-3p
hsa-miR-3121-3p
hsa-miR-3123
hsa-miR-3124-3p
hsa-miR-3125
hsa-miR-3127-3p
hsa-miR-3129-5p
hsa-miR-3132
hsa-miR-3133
hsa-miR-3143
hsa-miR-3144-3p
hsa-miR-3148
hsa-miR-3149
hsa-miR-3151-3p
hsa-miR-3152-3p
hsa-miR-3152-5p
hsa-miR-3161
hsa-miR-3163
hsa-miR-3168
hsa-miR-3170
hsa-miR-3177-5p
hsa-miR-3182
hsa-miR-3183
hsa-miR-3185
hsa-miR-3190-3p
hsa-miR-3194-3p
hsa-miR-3201
hsa-miR-3202
hsa-miR-323a-3p
hsa-miR-323b-5p
hsa-miR-32-5p
hsa-miR-328-5p
hsa-miR-331-5p
hsa-miR-335-3p
hsa-miR-338-5p
hsa-miR-33a-3p
hsa-miR-340-5p
hsa-miR-345-3p
hsa-miR-34a-3p
hsa-miR-34c-3p
hsa-miR-3529-3p
hsa-miR-3591-5p
hsa-miR-3606-3p
hsa-miR-3609
hsa-miR-3611
hsa-miR-3612
hsa-miR-3613-3p
hsa-miR-3613-5p
hsa-miR-3617-3p
hsa-miR-3622a-3p
hsa-miR-3622b-3p
hsa-miR-363-3p
hsa-miR-3646
hsa-miR-3648
hsa-miR-3650
hsa-miR-3655
hsa-miR-3656
hsa-miR-3658
hsa-miR-3662
hsa-miR-3664-3p
hsa-miR-3665
hsa-miR-3671
hsa-miR-367-3p
hsa-miR-367-5p
hsa-miR-3678-3p
hsa-miR-3680-3p
hsa-miR-3681-5p
hsa-miR-3682-5p
hsa-miR-3685
hsa-miR-3688-3p
hsa-miR-3688-5p
hsa-miR-3689a-3p
hsa-miR-3689a-5p
hsa-miR-3689b-3p
hsa-miR-3689b-5p
hsa-miR-3689c
hsa-miR-3689e
hsa-miR-3689f
hsa-miR-3691-5p
hsa-miR-3692-3p
hsa-miR-369-3p
hsa-miR-370-3p
hsa-miR-3713
hsa-miR-374a-5p
hsa-miR-374b-5p
hsa-miR-374c-5p
hsa-miR-375
hsa-miR-376a-3p
hsa-miR-376b-3p
hsa-miR-376b-5p
hsa-miR-376c-3p
hsa-miR-376c-5p
hsa-miR-377-3p
hsa-miR-377-5p
hsa-miR-378j
hsa-miR-379-3p
hsa-miR-380-3p
hsa-miR-382-3p
hsa-miR-383-5p
hsa-miR-3908
hsa-miR-3910
hsa-miR-3911
hsa-miR-3915
hsa-miR-3920
hsa-miR-3924
hsa-miR-3926
hsa-miR-3927-3p
hsa-miR-3936
hsa-miR-3941
hsa-miR-3945
hsa-miR-3978
hsa-miR-409-5p
hsa-miR-410-3p
hsa-miR-410-5p
hsa-miR-411-3p
hsa-miR-424-5p
hsa-miR-4255
hsa-miR-4261
hsa-miR-4262
hsa-miR-4266
hsa-miR-4267
hsa-miR-4273
hsa-miR-4275
hsa-miR-4279
hsa-miR-4280
hsa-miR-4282
hsa-miR-4283
hsa-miR-4286
hsa-miR-4288
hsa-miR-4289
hsa-miR-4290
hsa-miR-4291
hsa-miR-4293
hsa-miR-4296
hsa-miR-4297
hsa-miR-4304
hsa-miR-4306
hsa-miR-4310
hsa-miR-4311
hsa-miR-4316
hsa-miR-4317
hsa-miR-4318
hsa-miR-432-3p
hsa-miR-4325
hsa-miR-4326
hsa-miR-4328
hsa-miR-4417
hsa-miR-4419a
hsa-miR-4423-5p
hsa-miR-4426
hsa-miR-4428
hsa-miR-4433b-3p
hsa-miR-4436b-5p
hsa-miR-4443
hsa-miR-4447
hsa-miR-4451
hsa-miR-4455
hsa-miR-4458
hsa-miR-4463
hsa-miR-4466
hsa-miR-4467
hsa-miR-4470
hsa-miR-4472
hsa-miR-4477a
hsa-miR-4478
hsa-miR-448
hsa-miR-4483
hsa-miR-4485-5p
hsa-miR-4491
hsa-miR-4495
hsa-miR-4496
hsa-miR-4500
hsa-miR-4503
hsa-miR-4506
hsa-miR-450a-2-3p
hsa-miR-4516
hsa-miR-4517
hsa-miR-452-3p
hsa-miR-4524a-5p
hsa-miR-4524b-5p
hsa-miR-452-5p
hsa-miR-4527
hsa-miR-4528
hsa-miR-4531
hsa-miR-4533
hsa-miR-4534
hsa-miR-4637
hsa-miR-4643
hsa-miR-4646-5p
hsa-miR-4651
hsa-miR-4654
